ID,题型,分类,题目,GT
IDA001,数字,互联网数据分析/漏斗指标计算,【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 1120、进入详情页 933、提交表单 710、完成支付 568。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.5071
IDA002,JSON,互联网数据分析/异常定位,【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是增长数据分析 agent。跨系统摘录显示：产品分析看板今日支付成功率 71%，过去 7 日均值 83%；发布记录系统显示昨晚 Android 支付 SDK 升级；埋点数据仓库显示 Android 支付失败量占新增失败的 68%。请只输出 JSON，字段 anomaly_metric、primary_segment、suspected_change、next_action。,"{""anomaly_metric"":""支付成功率"",""primary_segment"":""Android"",""suspected_change"":""支付SDK升级"",""next_action"":""排查Android支付SDK""}"
IDA003,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 1360、进入详情页 1159、提交表单 930、完成支付 784。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.5765
IDA004,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 1480、进入详情页 1272、提交表单 1040、完成支付 892。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.6027
IDA005,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 1600、进入详情页 1385、提交表单 1150、完成支付 1000。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.625
IDA006,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 1720、进入详情页 1498、提交表单 1260、完成支付 1108。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.6442
IDA007,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 1840、进入详情页 1611、提交表单 1370、完成支付 1216。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.6609
IDA008,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 1960、进入详情页 1724、提交表单 1480、完成支付 1324。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.6755
IDA009,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 2080、进入详情页 1837、提交表单 1590、完成支付 1432。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.6885
IDA010,数字,互联网数据分析/漏斗指标计算,你是增长数据分析 agent，产品经理正在看今日核心漏斗。埋点表显示：访问首页 2200、进入详情页 1950、提交表单 1700、完成支付 1540。请输出从访问首页到完成支付的整体转化率，小数形式，保留 4 位。,0.7
IDA011,单选,互联网数据分析/异常定位,"【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 4pct，B 详情到主按钮 8pct，C 主按钮到支付 4pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA012,单选,互联网数据分析/异常定位,"【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 2pct，B 详情到主按钮 5pct，C 主按钮到支付 3pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA013,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 3pct，B 详情到主按钮 6pct，C 主按钮到支付 4pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA014,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 4pct，B 详情到主按钮 7pct，C 主按钮到支付 3pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA015,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 2pct，B 详情到主按钮 8pct，C 主按钮到支付 4pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA016,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 3pct，B 详情到主按钮 5pct，C 主按钮到支付 3pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA017,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 4pct，B 详情到主按钮 6pct，C 主按钮到支付 4pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA018,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 2pct，B 详情到主按钮 7pct，C 主按钮到支付 3pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA019,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 3pct，B 详情到主按钮 8pct，C 主按钮到支付 4pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA020,单选,互联网数据分析/异常定位,"产品周会前，你需要定位最近一次转化下滑。对比前 7 天和后 7 天，三个漏斗环节下降幅度分别为：A 首页到详情 4pct，B 详情到主按钮 5pct，C 主按钮到支付 3pct。请判断下降最明显、应优先排查的环节。
A. 首页到详情
B. 详情到主按钮
C. 主按钮到支付
D. 无法判断",B
IDA021,单选,互联网数据分析/维度拆解,"【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -2pct，Android -8pct，Web -2pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA022,单选,互联网数据分析/维度拆解,"【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -3pct，Android -9pct，Web -1pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA023,单选,互联网数据分析/维度拆解,"你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -4pct，Android -10pct，Web -2pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA024,单选,互联网数据分析/维度拆解,"你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -2pct，Android -7pct，Web -1pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA025,单选,互联网数据分析/维度拆解,"你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -3pct，Android -8pct，Web -2pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA026,单选,互联网数据分析/维度拆解,"你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -4pct，Android -9pct，Web -1pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA027,单选,互联网数据分析/维度拆解,"你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -2pct，Android -10pct，Web -2pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA028,单选,互联网数据分析/维度拆解,"你在给产品和研发准备异常排查结论。分端转化率变化为：iOS -3pct，Android -7pct，Web -1pct。负数代表下滑。请判断主要影响来自哪个端，以便分配排查 owner。
A. iOS
B. Android
C. Web
D. 三端相同",B
IDA029,JSON,互联网数据分析/跨应用实验复盘种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把注册页 A/B 实验扩展成沙盒任务。跨系统摘录：实验平台显示实验组注册完成率 31.1%、对照组 28.4%；产品分析看板显示 Android 激活率从 42% 降到 35%；发布记录系统显示实验同时调整了 Android 首屏资源加载。上线规则：注册提升 >=2pct 且关键端激活率不能明显下降，否则只能局部灰度或暂不上线。请只输出 JSON，字段 decision、primary_risk、followup_app、ticket_priority。,"{""decision"":""局部灰度"",""primary_risk"":""Android激活率下降"",""followup_app"":""项目管理系统"",""ticket_priority"":""P1""}"
IDA030,JSON,互联网数据分析/跨应用漏斗排障种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把支付漏斗异常扩展成沙盒任务。跨系统摘录：埋点仓库显示支付页到支付成功下降 9.2pct；产品看板显示 Web 端下降最大；发布记录系统显示 Web 收银台在昨晚切换新风控脚本。SOP：先定位环节和端，再创建排查任务。请只输出 JSON，字段 anomaly_step、primary_platform、suspected_cause、next_system、next_action。,"{""anomaly_step"":""支付页到支付成功"",""primary_platform"":""Web"",""suspected_cause"":""新风控脚本"",""next_system"":""项目管理系统"",""next_action"":""创建排查任务""}"
IDA031,JSON,互联网数据分析/A/B实验判断,【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是实验分析 agent，正在给注册页文案实验出上线建议。上线规则：实验组注册完成率相比对照组提升至少 2pct 才建议上线。对照组 1820 人、完成注册 515；实验组 1955 人、完成注册 607。请输出 JSON，字段为 lift 和 decision；lift 用小数表示并保留 4 位，decision 只能是“上线”或“继续观察”。,"{""lift"":{""type"":""number"",""normalized_value"":0.0275,""tolerance"":0.0001},""decision"":""上线""}"
IDA032,JSON,互联网数据分析/A/B实验判断,【跨应用结构化题】跨应用材料来自埋点数据仓库、产品分析看板和发布记录系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是实验分析 agent，正在给注册页文案实验出上线建议。上线规则：实验组注册完成率相比对照组提升至少 2pct 才建议上线。对照组 1840 人、完成注册 520；实验组 1980 人、完成注册 614。请输出 JSON，字段为 lift 和 decision；lift 用小数表示并保留 4 位，decision 只能是“上线”或“继续观察”。,"{""lift"":{""type"":""number"",""normalized_value"":0.0275,""tolerance"":0.0001},""decision"":""上线""}"
IDA033,JSON,互联网数据分析/A/B实验判断,你是实验分析 agent，正在给注册页文案实验出上线建议。上线规则：实验组注册完成率相比对照组提升至少 2pct 才建议上线。对照组 1860 人、完成注册 525；实验组 2005 人、完成注册 621。请输出 JSON，字段为 lift 和 decision；lift 用小数表示并保留 4 位，decision 只能是“上线”或“继续观察”。,"{""lift"":{""type"":""number"",""normalized_value"":0.0275,""tolerance"":0.0001},""decision"":""上线""}"
IDA034,JSON,互联网数据分析/A/B实验判断,你是实验分析 agent，正在给注册页文案实验出上线建议。上线规则：实验组注册完成率相比对照组提升至少 2pct 才建议上线。对照组 1880 人、完成注册 530；实验组 2030 人、完成注册 628。请输出 JSON，字段为 lift 和 decision；lift 用小数表示并保留 4 位，decision 只能是“上线”或“继续观察”。,"{""lift"":{""type"":""number"",""normalized_value"":0.0274,""tolerance"":0.0001},""decision"":""上线""}"
IDA035,JSON,互联网数据分析/A/B实验判断,你是实验分析 agent，正在给注册页文案实验出上线建议。上线规则：实验组注册完成率相比对照组提升至少 2pct 才建议上线。对照组 1900 人、完成注册 535；实验组 2055 人、完成注册 635。请输出 JSON，字段为 lift 和 decision；lift 用小数表示并保留 4 位，decision 只能是“上线”或“继续观察”。,"{""lift"":{""type"":""number"",""normalized_value"":0.0274,""tolerance"":0.0001},""decision"":""上线""}"
IPO001,数字,互联网产品运营/活动指标复盘,【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 5400、点击 645、注册 198、补贴消耗 2670 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,13.48
IPO002,单选,互联网产品运营/渠道异常判断,"【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在做活动复盘。跨系统摘录显示：活动后台中 KOL 渠道点击率最高但注册转化最低；CRM 显示 KOL 新客资料完整率只有 42%；工单系统出现多条“落地页加载慢”反馈。运营负责人问应优先排查哪里。请选择最合理的下一步。
A. 直接增加 KOL 预算
B. 优先排查 KOL 落地页加载和资料提交流程
C. 关闭所有渠道投放
D. 只看点击率，不看注册转化",B
IPO003,数字,互联网产品运营/活动指标复盘,你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 6200、点击 735、注册 234、补贴消耗 3010 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,12.86
IPO004,数字,互联网产品运营/活动指标复盘,你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 6600、点击 780、注册 252、补贴消耗 3180 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,12.62
IPO005,数字,互联网产品运营/活动指标复盘,你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 7000、点击 825、注册 270、补贴消耗 3350 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,12.41
IPO006,数字,互联网产品运营/活动指标复盘,你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 7400、点击 870、注册 288、补贴消耗 3520 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,12.22
IPO007,数字,互联网产品运营/活动指标复盘,你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 7800、点击 915、注册 306、补贴消耗 3690 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,12.06
IPO008,数字,互联网产品运营/活动指标复盘,你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 8200、点击 960、注册 324、补贴消耗 3860 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,11.91
IPO009,数字,互联网产品运营/活动指标复盘,你正在做新用户拉新活动复盘。某渠道本周数据为：曝光 8600、点击 1005、注册 342、补贴消耗 4030 元。运营负责人需要看单注册成本，请输出该渠道 CPA，保留 2 位小数。,11.78
IPO010,单选,互联网产品运营/渠道优选,"【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 12%，KOL 12%，社群 16.2%，老带新 11%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO011,单选,互联网产品运营/渠道优选,"【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 13%，KOL 13.5%，社群 17.4%，老带新 11.8%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO012,单选,互联网产品运营/渠道优选,"下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 12%，KOL 9%，社群 15%，老带新 12.6%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO013,单选,互联网产品运营/渠道优选,"下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 13%，KOL 10.5%，社群 16.2%，老带新 13.4%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO014,单选,互联网产品运营/渠道优选,"下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 12%，KOL 12%，社群 17.4%，老带新 14.2%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO015,单选,互联网产品运营/渠道优选,"下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 13%，KOL 13.5%，社群 15%，老带新 11%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO016,单选,互联网产品运营/渠道优选,"下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 12%，KOL 9%，社群 16.2%，老带新 11.8%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO017,单选,互联网产品运营/渠道优选,"下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 13%，KOL 10.5%，社群 17.4%，老带新 12.6%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO018,单选,互联网产品运营/渠道优选,"下周预算会要从本周活动里挑一个优先加码渠道。四个渠道首单转化率为：信息流 12%，KOL 12%，社群 15%，老带新 13.4%。请判断表现最好的渠道。
A. 信息流
B. KOL
C. 社群
D. 老带新",C
IPO019,单选,互联网产品运营/用户反馈归类,"【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在整理活动复盘里的用户反馈标签。请按主要问题归类这条反馈：“按钮找不到，注册页太长”
A. 体验问题
B. 规则问题
C. 履约问题
D. 性能问题
E. 服务问题",A
IPO020,单选,互联网产品运营/用户反馈归类,"【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你正在整理活动复盘里的用户反馈标签。请按主要问题归类这条反馈：“优惠券显示成功但无法使用”
A. 体验问题
B. 规则问题
C. 履约问题
D. 性能问题
E. 服务问题",B
IPO021,单选,互联网产品运营/用户反馈归类,"你正在整理活动复盘里的用户反馈标签。请按主要问题归类这条反馈：“支付后没有收到权益”
A. 体验问题
B. 规则问题
C. 履约问题
D. 性能问题
E. 服务问题",C
IPO022,单选,互联网产品运营/用户反馈归类,"你正在整理活动复盘里的用户反馈标签。请按主要问题归类这条反馈：“页面加载很慢，经常白屏”
A. 体验问题
B. 规则问题
C. 履约问题
D. 性能问题
E. 服务问题",D
IPO023,单选,互联网产品运营/用户反馈归类,"你正在整理活动复盘里的用户反馈标签。请按主要问题归类这条反馈：“客服回复太慢”
A. 体验问题
B. 规则问题
C. 履约问题
D. 性能问题
E. 服务问题",E
IPO024,单选,互联网产品运营/用户反馈归类,"你正在整理活动复盘里的用户反馈标签。请按主要问题归类这条反馈：“按钮找不到，注册页太长”
A. 体验问题
B. 规则问题
C. 履约问题
D. 性能问题
E. 服务问题",A
IPO025,单选,互联网产品运营/用户反馈归类,"你正在整理活动复盘里的用户反馈标签。请按主要问题归类这条反馈：“优惠券显示成功但无法使用”
A. 体验问题
B. 规则问题
C. 履约问题
D. 性能问题
E. 服务问题",B
IPO026,JSON,互联网产品运营/工单分流,【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响付费用户核心流程；负责人已知。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P0"",""action"":""立即创建P0工单""}"
IPO027,JSON,互联网产品运营/工单分流,【跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响少量普通用户配置；负责人缺失。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P1"",""action"":""创建P1工单""}"
IPO028,JSON,互联网产品运营/跨应用运营闭环种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把拉新活动复盘扩展成沙盒任务。跨系统摘录：活动后台显示信息流 CPA 38 元、社群 CPA 21 元；CRM 显示社群新客 7 日留存最高；项目管理系统里没有“社群素材复用”任务。运营规则：优先放大低 CPA 且留存好的渠道，并创建下周动作。请只输出 JSON，字段 best_channel、budget_action、task_system、task_title。,"{""best_channel"":""社群"",""budget_action"":""加预算"",""task_system"":""项目管理系统"",""task_title"":""社群素材复用""}"
IPO029,JSON,互联网产品运营/跨应用用户运营种子,【沙盒任务种子/跨应用结构化题】跨应用材料来自活动后台、CRM 和工单/项目管理系统；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你要把用户召回动作扩展成沙盒任务。跨系统摘录：活动后台显示优惠券领取率高但首单低；CRM 显示未首单用户集中在“已领券未下单”；工单系统中有多条“券不可用”反馈。规则：若转化卡点与反馈一致，先建问题工单，再暂停扩大投放。请只输出 JSON，字段 blocked_segment、issue_type、ad_action、ticket_priority。,"{""blocked_segment"":""已领券未下单"",""issue_type"":""券不可用"",""ad_action"":""暂停扩大投放"",""ticket_priority"":""P1""}"
IPO030,JSON,互联网产品运营/工单分流,你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响付费用户核心流程；负责人缺失。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P0"",""action"":""补充负责人并升级提醒""}"
IPO031,JSON,互联网产品运营/工单分流,你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响少量普通用户配置；负责人已知。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P1"",""action"":""创建P1工单""}"
IPO032,JSON,互联网产品运营/工单分流,你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响付费用户核心流程；负责人已知。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P0"",""action"":""立即创建P0工单""}"
IPO033,JSON,互联网产品运营/工单分流,你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响少量普通用户配置；负责人缺失。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P1"",""action"":""创建P1工单""}"
IPO034,JSON,互联网产品运营/工单分流,你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响付费用户核心流程；负责人已知。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P0"",""action"":""立即创建P0工单""}"
IPO035,JSON,互联网产品运营/工单分流,你是产品运营值班 agent，需要把内部反馈转成工单。反馈影响范围：影响少量普通用户配置；负责人已知。SLA 规则：P0 需立即处理；缺负责人时先补齐负责人并升级提醒。请输出 JSON，字段 priority 和 action。,"{""priority"":""P1"",""action"":""创建P1工单""}"
ECS001,数字,电商选品/毛利测算,【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你是店铺选品 agent，正在初筛一个可上架商品。商品售价 67 元，采购成本 38 元，平台及物流费 6 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.3433
ECS002,JSON,电商选品/跨应用商品准入,【跨应用结构化题】跨应用材料来自商品中心、库存系统和投放/素材后台；当前结构化预筛版已摘录关键字段。 请基于这些跨系统信息完成判断或计算：你在做商品准入审核。跨系统摘录：商品中心显示 SKU-18 类目为小家电、评分 4.6；库存系统显示可售库存 35；投放后台显示同类素材历史 ROI 2.4。直播规则：库存低于 50 不进入主推，可进入候补并触发补货。请只输出 JSON，字段 sku、selection_status、required_action、reason。,"{""sku"":""SKU-18"",""selection_status"":""候补"",""required_action"":""补货"",""reason"":""库存不足""}"
ECS003,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 81 元，采购成本 44 元，平台及物流费 5 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.3951
ECS004,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 88 元，采购成本 47 元，平台及物流费 6 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.3977
ECS005,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 95 元，采购成本 50 元，平台及物流费 7 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.4
ECS006,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 102 元，采购成本 53 元，平台及物流费 5 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.4314
ECS007,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 109 元，采购成本 56 元，平台及物流费 6 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.4312
ECS008,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 116 元，采购成本 59 元，平台及物流费 7 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.431
ECS009,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 123 元，采购成本 62 元，平台及物流费 5 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.4553
ECS010,数字,电商选品/毛利测算,你是店铺选品 agent，正在初筛一个可上架商品。商品售价 130 元，采购成本 65 元，平台及物流费 6 元。请按店铺口径输出毛利率，公式为 (售价-成本-费用)/售价，小数形式保留 4 位。,0.4538
